id;content;start;end;group;url
1;Gillespie, initial measurements in soil slurries ;17.02.1920;NA;pt;https://journals.lww.com/soilsci/Citation/1920/04000/REDUCTION_POTENTIALS_OF_BACTERIAL_CULTURE_AND_OF.1.aspx
2;Pearsall and Mortimer, in situ data verifies the presence of Fe(II);01.08.1939;NA;pt;https://www.jstor.org/stable/2256375?refreqid=excelsior%3Af5ae415a26bd30912f3465213d4375a4&seq=1
3;Dorau et al., redox and climate interactions with impact on redoximorphic features;01.11.2019;NA;pt;https://www.sciencedirect.com/science/article/abs/pii/S0341816220300783
4;Owens et al., use of iron metal rods to infer the oxygen status;11.07.2008;NA;other;https://www.sciencedirect.com/science/article/abs/pii/S0341816207001117
